"Município";"Feminino  ";"Masculino ";"Total"
"Município ignorado - RJ";"0,0";"0,0";"0,0"
"Angra dos Reis";"5,7";"8,6";"7,1"
"Aperibé";"6,9";"10,7";"8,7"
"Araruama";"8,7";"10,9";"9,8"
"Areal";"5,0";"9,5";"7,2"
"Armação dos Búzios";"6,7";"9,5";"8,1"
"Arraial do Cabo";"6,7";"9,9";"8,2"
"Barra do Piraí";"8,2";"9,4";"8,8"
"Barra Mansa";"7,1";"9,5";"8,2"
"Belford Roxo";"6,5";"7,7";"7,1"
"Bom Jardim";"7,9";"10,3";"9,1"
"Bom Jesus do Itabapoana";"9,0";"10,4";"9,7"
"Cabo Frio";"6,1";"8,1";"7,0"
"Cachoeiras de Macacu";"7,3";"9,3";"8,3"
"Cambuci";"9,1";"10,9";"10,0"
"Campos dos Goytacazes";"7,5";"8,8";"8,1"
"Cantagalo";"6,8";"9,8";"8,2"
"Carapebus";"5,9";"8,6";"7,3"
"Cardoso Moreira";"8,6";"11,3";"9,9"
"Carmo";"9,3";"10,8";"10,1"
"Casimiro de Abreu";"5,2";"7,3";"6,2"
"Comendador Levy Gasparian";"6,4";"8,7";"7,5"
"Conceição de Macabu";"6,7";"8,8";"7,8"
"Cordeiro";"7,8";"10,2";"9,0"
"Duas Barras";"6,6";"10,3";"8,5"
"Duque de Caxias";"7,9";"9,5";"8,7"
"Engenheiro Paulo de Frontin";"11,6";"11,7";"11,7"
"Guapimirim";"8,1";"9,6";"8,8"
"Iguaba Grande";"10,9";"11,9";"11,4"
"Itaboraí";"7,1";"9,6";"8,3"
"Itaguaí";"7,9";"9,6";"8,7"
"Italva";"6,5";"10,7";"8,5"
"Itaocara";"9,0";"11,8";"10,4"
"Itaperuna";"7,4";"10,1";"8,7"
"Itatiaia";"5,9";"7,4";"6,7"
"Japeri";"7,1";"7,3";"7,2"
"Laje do Muriaé";"5,7";"10,4";"8,0"
"Macaé";"4,6";"6,4";"5,5"
"Macuco";"7,0";"15,4";"11,1"
"Magé";"8,4";"10,7";"9,5"
"Mangaratiba";"8,0";"10,1";"9,0"
"Maricá";"7,1";"9,0";"8,0"
"Mendes";"10,8";"11,2";"11,0"
"Mesquita";"7,7";"9,1";"8,3"
"Miguel Pereira";"9,8";"11,7";"10,7"
"Miracema";"7,8";"8,4";"8,1"
"Natividade";"6,9";"11,7";"9,3"
"Nilópolis";"9,5";"10,1";"9,8"
"Niterói";"8,7";"9,6";"9,1"
"Nova Friburgo";"7,7";"9,6";"8,7"
"Nova Iguaçu";"7,8";"9,0";"8,4"
"Paracambi";"7,5";"10,5";"9,0"
"Paraíba do Sul";"9,0";"9,0";"9,0"
"Paraty";"4,7";"6,7";"5,7"
"Paty do Alferes";"7,4";"9,9";"8,6"
"Petrópolis";"9,4";"10,5";"9,9"
"Pinheiral";"8,1";"9,7";"8,9"
"Piraí";"8,1";"9,5";"8,8"
"Porciúncula";"8,2";"10,3";"9,2"
"Porto Real";"6,5";"9,7";"8,0"
"Quatis";"5,6";"8,5";"7,0"
"Queimados";"7,1";"9,4";"8,2"
"Quissamã";"6,2";"11,1";"8,6"
"Resende";"6,5";"8,5";"7,4"
"Rio Bonito";"6,9";"7,8";"7,3"
"Rio Claro";"5,8";"11,3";"8,5"
"Rio das Flores";"7,4";"10,3";"8,8"
"Rio das Ostras";"5,3";"6,6";"5,9"
"Rio de Janeiro";"8,3";"8,8";"8,5"
"Santa Maria Madalena";"6,6";"13,1";"9,9"
"Santo Antônio de Pádua";"8,4";"11,3";"9,8"
"São Fidélis";"9,4";"9,7";"9,6"
"São Francisco de Itabapoana";"6,8";"8,9";"7,9"
"São Gonçalo";"7,7";"9,0";"8,3"
"São João da Barra";"7,6";"11,2";"9,3"
"São João de Meriti";"7,8";"9,0";"8,3"
"São José de Ubá";"7,3";"12,5";"9,9"
"São José do Vale do Rio Preto";"5,6";"8,4";"7,0"
"São Pedro da Aldeia";"6,1";"8,3";"7,2"
"São Sebastião do Alto";"8,1";"9,0";"8,6"
"Sapucaia";"8,2";"9,5";"8,8"
"Saquarema";"8,5";"9,7";"9,1"
"Seropédica";"7,5";"9,2";"8,3"
"Silva Jardim";"5,8";"9,7";"7,8"
"Sumidouro";"7,5";"10,4";"8,9"
"Tanguá";"6,1";"9,5";"7,8"
"Teresópolis";"7,9";"9,5";"8,7"
"Trajano de Moraes";"8,6";"9,3";"8,9"
"Três Rios";"8,1";"10,3";"9,1"
"Valença";"9,2";"10,0";"9,5"
"Varre-Sai";"6,5";"7,4";"6,9"
"Vassouras";"7,9";"11,4";"9,6"
"Volta Redonda";"8,0";"9,6";"8,8"
"Total";"7,8";"9,1";"8,4"
